ROUTE_ID	PARENT_ID	ROUTE_NAME	ROUTE_VALUE	ROUTE_REGEX	VIEW_ORDER	OPER_STAFF	OPER_DATE	STATUS	REMARK
1	0	"ϵͳ"	""	""	1	0	"20121101"	1	(null)
2	1	(null)	"javascript:window.open('/','_parent')"	""	1	0	"20121101"	1	(null)
3	1	(null)	"/login/reset_password"	"^/login/reset_password$"	2	0	"20121101"	1	(null)
4	0	"role"	""	""	2	0	"20121101"	1	"user"
5	4	"user"	"/user/index"	"^/user/.*$"	1	0	"20121101"	1	(null)
6	4	"role"	"/role/index"	"^/role/.*$"	2	0	"20121101"	1	(null)
7	0	"ypos"	""	""	2	0	"20121101"	1	(null)
8	7	(null)	"/ypos/list"	"^/ypos/(list|si)$"	1	0	"20121101"	1	(null)
9	7	(null)	"/ypos/monitoring"	"^/ypos/monitoring$"	2	0	"20121101"	1	(null)
10	7	(null)	"/ypos/index"	"^/ypos/index$"	3	0	"20121101"	1	(null)
11	0	"Info Maintenance"	""	""	2	0	"20121101"	1	"role"
12	11	"dimp"	"/dimp/index"	"^/dimp/.*$"	1	0	"20121101"	1	(null)
13	11	"bip"	"/bip/index"	"^/bip/.*$"	2	0	"20121101"	1	(null)
14	11	"dictbook"	"/dictbook/index"	"^/dictbook/.*$"	3	0	"20121101"	1	"dictbook"
15	11	"dictdim"	"/dictdim/index"	"^/dictdim/.*$"	4	0	"20121101"	1	"dictdim"
16	11	"dimbi"	"/dimbi/index"	"^/dimbi/.*$"	5	0	"20121101"	1	"dimbi"
17	11	"dimbfj"	"/dimbfj/index"	"^/dimbfj/.*$"	6	0	"20121101"	1	"dimbfj"
18	11	"dictyspz"	"/dictyspz/index"	"^/dictyspz/.*$"	7	0	"20121101"	1	"dictypsz"
